Date,Quantile_0.025,Quantile_0.25,Quantile_0.5,Quantile_0.75,Quantile_0.975,Median,Mean,Std,Min,Max,Region,District,Day,Month,Year
2019-08-17,0.00777002137620002,0.012993147829547524,0.017468953505158424,0.025778939947485924,0.08762260004878034,0.017468954,0.024336966,0.023348527,0.0040329183,0.299987,Chittagong,Bandarban,17,8,2019
2018-12-15,0.017288059182465076,0.027582666836678982,0.03456246107816696,0.04388090781867504,0.09322878383099993,0.03456246,0.038879253,0.019970609,0.00750971,0.33002478,Chittagong,Bandarban,15,12,2018
2018-12-23,0.019097961764782668,0.03042865637689829,0.03856342285871506,0.04807182401418686,0.08377833012491462,0.038563423,0.041503966,0.017362706,0.009501047,0.24723813,Chittagong,Bandarban,23,12,2018
2017-12-23,0.022475672699511052,0.03739168494939804,0.04418770223855972,0.052463598549366,0.08669803217053401,0.044187702,0.046657108,0.016779143,0.013031426,0.31170225,Chittagong,Bandarban,23,12,2017
2020-07-15,0.00862909760326147,0.014615498017519712,0.019285625778138638,0.026565948966890574,0.07385359592735759,0.019285627,0.02423384,0.019413278,0.0040107067,0.37921664,Chittagong,Bandarban,15,7,2020
2018-12-31,0.04605303080752492,0.06710260361433029,0.07824623584747314,0.09021364524960518,0.12709070779383178,0.078246236,0.08009236,0.021201398,0.02832226,0.30403578,Chittagong,Bandarban,31,12,2018
2019-08-01,0.004028966033365578,0.007304028491489589,0.010519345756620169,0.01674396637827158,0.06865006312727907,0.010519346,0.016323093,0.019080121,0.0020679936,0.30764356,Chittagong,Bandarban,1,8,2019
2017-05-29,0.00854463055729866,0.01333199511282146,0.017158380709588528,0.022612038534134626,0.04878703970462075,0.017158382,0.019898681,0.011767099,0.005023051,0.25231716,Chittagong,Bandarban,29,5,2017
2019-01-21,0.05705201532691717,0.089073920622468,0.11188395321369171,0.13629726693034172,0.19441570639610284,0.11188395,0.11517077,0.035862874,0.036305167,0.33978513,Chittagong,Bandarban,21,1,2019
2019-08-25,0.008729286841116846,0.013701816787943244,0.017990300431847572,0.025217418558895588,0.08496210966259227,0.0179903,0.02405969,0.021316933,0.0053146495,0.3013119,Chittagong,Bandarban,25,8,2019
